Go here,ftp://ftp.srl.caltech.edu/pub/,Go to nustar/from_hassif/straylight_triage,,,,"Bad = No stray light, Good = Obvious stray light from this source, Easy = ONLY stray light from this source",
Name,,Sequence ID,Off-axis (deg),Exposure (ks),Checked By:,Good / Bad / Easy,Notes
GX 349+2,CXOUJ171405d7m381031,30001130002,2.426962738,81270.2905,,,
GX 349+2,2MASSJ16561677m3302127,60160657002,3.897509502,21139.7662,,,
GX 349+2,RXJ1713d7m3946_NW_P1,40111001002,3.296796108,49596.616,,,
GX 349+2,4U_1700m37,30101027002,1.44704087,38024.9868,,,
GX 349+2,RXJ1713d7m3946_NW_P2,40111002002,3.367761228,57357.277,,,
GX 349+2,HESS_J1713m381,30201031002,2.412370748,78561.3295,,,
GX 349+2,G346d6m0d2,40201001002,3.879452364,62775.7322,,,
GX 349+2,IGR_J16597m3704,90301324001,1.465010085,42214.3885,,,
GX 349+2,80.2393753,430.9403867,,,,,
,,,,,,,
1E 1740.7-294,Gal_Cen_MOS005,40010005001,1.03329109,25992.9403,,,
1E 1740.7-294,Gal_Cen_MOS006,40010006001,1.026789555,23563.7354,,,
1E 1740.7-294,G1d9p0d3,40001015002,2.725554786,8913.9606,,,
1E 1740.7-294,G1d9p0d3,40001015003,2.735697031,85397.4212,,,
1E 1740.7-294,G1d9p0d3,40001015005,2.737656231,121641.8301,,,
1E 1740.7-294,G1d9p0d3,40001015007,2.73727132,144685.1722,,,
1E 1740.7-294,GalSurvey_A_MOS005,40031005001,1.057154226,40849.4865,,,
1E 1740.7-294,SgrB2_MOS01,40012018002,1.518396494,143856.8336,,,
1E 1740.7-294,SgrB2_MOS02,40012019001,1.578952695,153456.456,,,
1E 1740.7-294,GRO_J1744m28,80002017002,1.043639646,28668.9229,,,
1E 1740.7-294,GRO_J1744m28,80002017004,1.051656575,8542.077,,,
1E 1740.7-294,GRS1739m278,80002018002,2.047871568,29713.6445,,,
1E 1740.7-294,GalSurvey_A_MOS006,40031006002,1.058849428,40234.6327,,,
1E 1740.7-294,GalSurvey_A_MOS007,40031007001,1.128189264,40743.3542,,,
1E 1740.7-294,GalSurvey_A_MOS008,40031008001,1.154475087,41045.9775,,,
1E 1740.7-294,GRS1734m292,60061279002,1.538419153,20292.5873,,,
1E 1740.7-294,H1743m322,80001044002,2.550384396,50449.7126,,,
1E 1740.7-294,H1743m322,80001044004,2.552446639,61284.1923,,,
1E 1740.7-294,H1743m322,80001044006,2.559362349,25669.3923,,,
1E 1740.7-294,IGR_J17511m3057,90101001002,1.98641051,42244.8923,,,
1E 1740.7-294,H1743m322,80002040002,2.56812595,28295.4107,,,
1E 1740.7-294,H1743m322,80002040004,2.573296669,28107.1284,,,
1E 1740.7-294,H1743m322,80002040006,2.569671352,26357.3686,,,
1E 1740.7-294,GRS_1739m278,80101050002,1.996474066,43382.9711,,,
1E 1740.7-294,H_1743m322,80202012002,2.535198134,65862.5688,,,
1E 1740.7-294,H_1743m322,80202012004,2.536867647,65688.1101,,,
1E 1740.7-294,GRS_1739m278,80102101002,1.991912845,27137.2417,,,
1E 1740.7-294,GRS_1739m278,80102101004,1.992391148,25899.4087,,,
1E 1740.7-294,GRS_1739m278,80102101005,1.984296045,27023.153,,,
1E 1740.7-294,GRO_J1744m28,80202027002,1.04308067,28822.7225,,,
1E 1740.7-294,IGRJ17329m2731,90301012002,3.302706126,20846.0337,,,
1E 1740.7-294,GX_3p1,30363001002,3.255341638,13664.2019,,,
1E 1740.7-294,Sgr_B2,40401001002,1.569956866,149234.7432,,,
1E 1740.7-294,GRS_1734m292,60301010002,1.522202759,26020.3307,,,
1E 1740.7-294,IGR_J17503m2636,90401333002,3.396626258,39101.1763,,,
1E 1740.7-294,H_1743m322,90401335002,2.567621512,38447.5074,,,
1E 1740.7-294,2MASSJ17485512m3254521,60160677002,3.329717625,21801.4007,,,
1E 1740.7-294,937.0124666,1812.938699,,,,,
,,,,,,,
4U 1820-303,Nova_Sgr_2015_2,90001009002,3.252666701,52016.7907,,,
4U 1820-303,0,52.0167907,,,,,
,,,,,,,
4U0115+63,4U0142p61,30001023002,3.798137366,24279.9556,Brian,Bad,
4U0115+63,4U0142p61,30001023003,3.802386281,143940.8207,Brian,Bad,
4U0115+63,gamma_Cas,30001147002,3.909147749,30762.5853,Brian,Bad,
4U0115+63,CHU4_gamma_Cas,10301001002,3.861597337,1279.7689,Brian,Bad,
4U0115+63,CHU4_gamma_Cas,10301001003,3.975338184,1077.8208,Brian,Bad,
4U0115+63,CHU4_gamma_Cas,10301001004,3.930327115,750.3088,Brian,Bad,
4U0115+63,4U0142p61,90301010002,3.738060985,51886.6269,Brian,Bad,
4U0115+63,0,253.977887,,,,,
,,,,,,,
GX 340+0,Norma_MOS008,40014008002,2.71505708,16573.1363,,,
GX 340+0,Norma_MOS009,40014009001,2.722860816,14653.1126,,,
GX 340+0,Norma_MOS003,40014003001,2.944945074,20846.0837,,,
GX 340+0,Norma_MOS004,40014004001,2.815568592,19440.002,,,
GX 340+0,Norma_MOS005,40014005001,2.822112283,21241.2728,,,
GX 340+0,Norma_MOS006,40014006001,2.835354724,18958.6887,,,
GX 340+0,Norma_MOS007,40014007001,2.704091767,22639.8596,,,
GX 340+0,Norma_MOS001,40014001001,2.928907077,18406.6446,,,
GX 340+0,Norma_MOS002,40014002001,2.934931,19497.4487,,,
GX 340+0,NuSTARJ163433m473841,30001012002,2.780019178,16599.8604,,,
GX 340+0,Norma_MOS011,40014011002,1.297470749,22213.1409,,,
GX 340+0,Norma_MOS012,40014012001,1.310614831,20179.2882,,,
GX 340+0,Norma_MOS013,40014013001,1.321405222,21114.24,,,
GX 340+0,Norma_MOS014,40014014001,1.151669707,17060.0072,,,
GX 340+0,Norma_MOS015,40014015001,1.216971599,19339.716,,,
GX 340+0,Norma_MOS016,40014016001,1.242381893,20468.0578,,,
GX 340+0,Norma_MOS017,40014017001,1.268019454,24783.436,,,
GX 340+0,Norma_MOS018,40014018001,1.28347833,24702.6759,,,
GX 340+0,Norma_MOS019,40014019001,1.187355022,26652.9928,,,
GX 340+0,HESSJ1640m465,30002021002,1.339832639,63922.8195,,,
GX 340+0,HESSJ1640m465,30002021003,1.301594059,21359.2558,,,
GX 340+0,HESSJ1640m465,30002021005,1.244606218,101762.2264,,,
GX 340+0,HESSJ1640m465,30002021007,1.248616847,36987.63,,,
GX 340+0,4U1630m47,30001016002,2.672886547,22071.8302,,,
GX 340+0,CXOUJ163802d6m471358,40001022002,2.077771127,102818.8097,Brian,Easy,"Long one, on FPMA only"
GX 340+0,Norma_MOS021,40014021002,2.230987687,30040.6306,,,
GX 340+0,Norma_MOS022,40014022001,2.142046002,29049.239,,,
GX 340+0,Norma_MOS023,40014023001,2.152260102,29333.8332,,,
GX 340+0,Norma_MOS024,40014024001,2.268275631,29494.5026,,,
GX 340+0,Norma_MOS025,40014025001,2.296785492,29787.579,,,
GX 340+0,Norma_MOS026,40014026001,2.064848641,30459.0692,,,
GX 340+0,Norma_MOS027,40014027001,2.10793445,31097.9593,,,
GX 340+0,HESSJ1640m465,30002021009,1.237432044,33692.5413,,,
GX 340+0,Norma_MOS028,40014028002,2.278457593,29770.1392,,,
GX 340+0,Norma_MOS029,40014029001,1.656424513,29445.1367,,,
GX 340+0,Norma_MOS030,40014030001,1.395301729,28126.0299,,,
GX 340+0,Norma_MOS031,40014031001,1.328900637,30304.0153,,,
GX 340+0,Norma_MOS032,40014032001,1.370713593,31345.1802,,,
GX 340+0,Norma_MOS033,40014033002,1.245621395,31805.6313,,,
GX 340+0,Norma_MOS034,40014034001,1.461649367,31782.1886,,,
GX 340+0,Norma_MOS035,40014035001,1.588754085,39864.2636,,,
GX 340+0,HESSJ1640m465,30002021011,1.226179056,22540.5437,,,
GX 340+0,CXOUJ163515d1m472304,30001017002,2.493546196,49833.6938,,,
GX 340+0,HESSJ1640m465,30002021013,1.262426085,22198.9199,,,
GX 340+0,HESSJ1640m465,30002021015,1.292247744,19679.9766,,,
GX 340+0,HESSJ1640m465,30002021017,1.294814004,22464.3129,,,
GX 340+0,IGRJ16393m4643,30001008002,1.531626429,50578.5302,,,
